time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.271290751024613e-07,5.063389085692063e-07,10.002811331929951,0.0004335650992857154,0.0006361602648050635,0.0,-6.547018900449995e-05,4.1751162880081954e-05,0.09370724393326366,0.018749242556961025,0.02612194289812058,0.0,433.75541475560857,435.9431478231249,434.1614873753031,435.73137161699356
0.12000000000000001,-2.198863208098664e-05,1.476632659137089e-05,10.009035950717314,0.0016051697698840073,0.0025304787266930973,0.0,-0.0007975827758554784,0.0005371636576304967,0.11377776412952618,0.02103796422041176,0.04069935769346024,0.0,409.62732642617783,410.92180247597497,411.1672099943816,411.3698853974506
0.18,-0.0001364156776940021,8.713553355639934e-05,10.020005678995618,0.0029233130242669603,0.005954017638440945,0.0,-0.003344874783268061,0.0020140634718953288,0.251857287212947,0.023768897316543643,0.07810738323928507,0.0,447.12393502557813,450.16261253376894,448.9352734721136,449.1567792790817
0.23999999999999996,-0.0004947906789494633,0.00028157626668804265,10.040558948752285,0.003989897213934945,0.01020316436506441,0.0,-0.009118044742351897,0.004613878589329375,0.43319549141243646,0.0017530139928206064,0.049370922825105024,0.0,463.48566499580636,461.2254510360346,462.68180110731157,460.94547182369064
0.3,-0.0012583052492703233,0.0006390096371884967,10.068954432421206,0.004272242571444984,0.013747387845191916,0.0,-0.01665920756909601,0.007320176059029171,0.5132837081690811,0.010039324380226873,0.07357894735821763,0.0,429.9952879915983,432.0432987483113,430.1554951799243,430.85644520434585
0.36000000000000004,-0.0025469698463991284,0.0011655612646824028,10.101939263420512,0.005199838698919379,0.018204135561605383,0.0,-0.026730504271188435,0.010308035544140632,0.5861685394284283,0.024546843594218246,0.0756431941625891,0.0,428.3175000292586,428.4975308568451,428.0291741343257,429.2617743531132
0.4200000000000001,-0.00451577377430877,0.0018890077824719217,10.138616222416406,0.006776101189209349,0.02246149181207535,0.0,-0.03931411946682498,0.01395110950304004,0.6363605266784856,0.029513402520981176,0.05938432799263759,0.0,421.2068026142141,419.8026586685796,421.7062151628384,422.13512623477044
0.48000000000000015,-0.007312864956636458,0.0028608151068619694,10.178089107189559,0.00869545845905062,0.026016054704613545,0.0,-0.05425479983915334,0.018615242103612654,0.6793679318417939,0.036529885703521815,0.05895809980199398,0.0,418.51798734793886,418.48359521982775,419.0387708972545,419.64861784234876
0.5400000000000001,-0.01115147115421944,0.004176425194006223,10.223020615477957,0.01093404888343752,0.030218667099394914,0.0,-0.07412020806840598,0.025476234169705382,0.8182449662269582,0.03882546926887758,0.08607666622340192,0.0,448.58703024752134,450.78693287433657,449.53013515140157,449.71672495554094
0.6000000000000002,-0.016252841113930626,0.005943788640833764,10.275387564580155,0.013938151026884782,0.03626700965276353,0.0,-0.09651267439758011,0.03371672779397583,0.9272142046097008,0.06627091728575032,0.12041815564621793,0.0,438.2183972857679,441.0717446888255,440.349176508225,442.6148889831559
0.6600000000000003,-0.022864153416773537,0.008286722098626274,10.335168250532075,0.017585802088176727,0.04327468546061741,0.0,-0.12462768618526555,0.04479257596363308,1.0653186686068457,0.046632613928845976,0.1083392573740555,0.0,450.37762525459664,449.41171229846475,450.7186212468968,449.1313639578449
0.7200000000000003,-0.03128677901605851,0.011358417762424697,10.402652102381769,0.020243181448535985,0.049731056977465826,0.0,-0.15680072366234765,0.05788072974010283,1.1839885776123162,0.03913704923288125,0.106099554472164,0.0,443.63776335492315,443.46404912764336,445.17659289082553,444.5640202447814
0.7800000000000004,-0.041652065331722186,0.015219366053536146,10.474805911240807,0.02231945587795714,0.056204161544052056,0.0,-0.1893029417164087,0.0710228180063512,1.2210609948392321,0.023505692087557005,0.11123348690523419,0.0,417.84705903307065,418.3053567150876,419.0646465709967,417.70440855637435
0.8400000000000004,-0.054339163144046125,0.02000213303659313,10.553506330195056,0.023465710951211527,0.06279103244434658,0.0,-0.23434565277742653,0.08854465056406596,1.4020288310072533,0.008400735771270294,0.10670861674373963,0.0,463.0725371843876,462.7266098129633,465.3524266825572,464.16860855215936
0.9000000000000005,-0.0698569034776716,0.025850287191246026,10.642680721729969,0.024347987738532417,0.06973403562382519,0.0,-0.2836526653599031,0.10646735008497538,1.57017680814414,0.025012464994958107,0.12942038367112446,0.0,458.3380517014904,460.15057936161287,461.1370029334781,462.4471344305923
0.9600000000000005,-0.0884318705627315,0.032774974770468965,10.741032964188454,0.025591571308861027,0.07726037949073916,0.0,-0.3363248211332631,0.12449822244216782,1.7079624606737889,0.010367891152210696,0.11598026780244326,0.0,452.0541832228736,450.98391362678075,452.76103835275467,451.58135700907206
1.0200000000000005,-0.11035294756079432,0.04081285001952809,10.847947183818633,0.02637483125018303,0.08438278681020694,0.0,-0.39513011965268774,0.1434998456648303,1.8555412941200828,0.017948259241234256,0.12366302395037143,0.0,455.3049350149056,455.93138722605397,454.9428518719998,455.5492356894601
